ppb,tpp,consec,runtime,wattage
13,13,1,0.0983674,206.5
16,11,1,0.1191526,201.2
14,12,0,0.1173948,209.2
56,4,1,0.5205784,218.6
202,1,0,6.2265182,232.6
83,3,1,0.8795432,225.0
19,9,0,0.1799054,210.4
163,1,1,6.2181326,228.7
29,8,1,0.1899942,202.2
6,27,1,0.0527318,201.4
10,18,1,0.060803,201.4
8,10,1,0.0991298,208.8
121,1,0,6.297351,231.8
23,9,0,0.1589892,213.1
5,13,0,0.143947,210.6
7,16,1,0.0715614,202.2
118,2,0,2.6434554,230.6
3,28,0,0.0822642,203.9
42,3,0,1.362581,227.7
240,1,0,6.2258792,231.6
30,4,0,0.8438808,224.4
33,4,1,0.5396568,218.2
41,5,1,0.3766874,217.6
191,1,1,6.3092536,232.6
128,1,1,6.2921308,225.4
126,1,1,6.3087616,231.8
196,1,1,6.2289254,231.8
15,8,1,0.2150162,208.4
87,1,0,6.2557858,231.8
4,18,1,0.05973,199.3
12,6,0,0.2686486,215.2
103,2,0,2.6548504,231.4
9,25,0,0.0837928,203.7
184,1,0,6.222223,232.2
104,1,0,6.2310256,232.8
15,11,1,0.128489,208.8
166,1,1,6.228563,233.4
51,2,1,1.6716526,228.9
66,1,1,6.2513276,232.8
18,10,1,0.1443194,209.8
19,5,0,0.5688826,222.3
13,17,0,0.0668562,203.2
14,14,0,0.095039,204.7
48,4,0,0.8194752,224.8
174,1,1,6.2318012,232.4
16,7,1,0.2468676,212.5
193,1,0,6.2377302,232.2
70,3,1,0.8757072,223.2
25,10,0,0.1648028,212.7
65,1,0,6.2654344,232.8
63,3,1,0.906436,222.8
37,5,0,0.6268772,221.3
237,1,1,6.2213662,226.3
35,3,0,1.3726144,229.3
26,9,0,0.1831546,212.5
7,31,1,0.0489984,204.3
9,27,0,0.0686664,204.3
8,11,0,0.097229,204.1
7,19,1,0.0550054,201.0
7,29,0,0.0658488,200.4
65,2,0,2.674706,230.4
13,16,1,0.0704358,203.2
